CountNormalized1;CountNormalized2;CommonElements;IncorrectlyGenerated;CommonPercentage;Minimal diagnosis;Minimal diagnosis - GPT
1;1;1;0;100.0;;
1;1;1;0;100.0;A1;A1
1;1;1;0;100.0;;
3;3;3;0;100.0;"A1
A2
M1";"A2
A1
M1"
1;1;1;0;100.0;;
4;4;4;0;100.0;"A2
M3
A1, M2
M1, M2";"A2
M3
M2, A1
M2, M1"
4;4;4;0;100.0;"A1
M1
A2, M2
M2, M3";"M2, A2
M2, M3
M1
A1"
5;5;5;0;100.0;"M2
A1, A2
A1, M3
A2, M1
M1, M3";"M1, A2
A1, A2
A1, M3
M1, M3
M2"
8;8;8;0;100.0;"A1, A2
A1, M2
A1, M3
A2, M1
A2, M2
M1, M2
M1, M3
M2, M3";"M1, A2
M2, A2
M2, M3
M2, A1
M2, M1
A1, A2
A1, M3
M1, M3"
1;1;1;0;100.0;;
3;3;3;0;100.0;"A3
A4
A6";"A4
A3
A6"
4;4;4;0;100.0;"A1
A2
A5
A7";"A5
A2
A1
A7"
12;12;12;0;100.0;"A1, A3
A1, A4
A1, A6
A2, A3
A2, A4
A2, A6
A3, A5
A3, A7
A4, A5
A4, A7
A5, A6
A6, A7";"A3, A1
A6, A5
A6, A2
A6, A7
A4, A1
A4, A2
A3, A5
A3, A7
A3, A2
A6, A1
A4, A5
A4, A7"
1;1;1;0;100.0;;
4;4;4;0;100.0;"M1
M2
M5
M7";"M5
M7
M1
M2"
3;3;3;0;100.0;"M3
M4
M6";"M4
M3
M6"
12;12;12;0;100.0;"M1, M3
M1, M4
M1, M6
M2, M3
M2, M4
M2, M6
M3, M5
M3, M7
M4, M5
M4, M7
M5, M6
M6, M7";"M4, M5
M3, M5
M6, M1
M4, M2
M3, M2
M6, M2
M4, M7
M3, M7
M6, M5
M4, M1
M3, M1
M6, M7"
1;1;1;0;100.0;;
3;3;3;0;100.0;"A2
A4
M2";"A4
A2
M2"
12;12;12;0;100.0;"A1, A2
A1, A4
A1, M2
A2, A3
A2, M1
A2, M3
A3, A4
A3, M2
A4, M1
A4, M3
M1, M2
M2, M3";"A4, M3
A4, A1
A4, A3
A4, M1
M2, M3
A2, A1
A2, A3
A2, M1
M2, A1
M2, A3
M2, M1
A2, M3"
4;4;4;0;100.0;"A1
A3
M1
M3";"M3
A1
A3
M1"
1;1;1;0;100.0;;
9;9;9;0;100.0;"A1
A4
M1
A2, A3
A2, M3
A2, M4
A3, M2
M2, M3
M2, M4";"M2, M3
M1
A2, A3
M2, A3
A1
A4
A2, M4
M2, M4
A2, M3"
9;9;9;0;100.0;"A3
M3
M4
A1, A2
A1, M2
A2, A4
A2, M1
A4, M2
M1, M2";"M3
A2, A1
A2, M1
M2, A1
M2, M1
A3
A2, A4
M2, A4
M4"
21;21;21;0;100.0;"A1, A2
A1, A3
A1, M2
A1, M3
A1, M4
A2, A3
A2, A4
A2, M1
A2, M3
A2, M4
A3, A4
A3, M1
A3, M2
A4, M2
A4, M3
A4, M4
M1, M2
M1, M3
M1, M4
M2, M3
M2, M4";"A2, A1
M2, A3
M2, M1
A4, M4
A2, A4
M1, M4
A2, M4
A4, A3
M1, A3
A1, M4
A2, A3
A2, M1
A1, A3
M2, M3
M1, M3
A2, M3
A4, M3
M2, A1
M2, A4
A1, M3
M2, M4"
1;1;1;0;100.0;;
5;5;5;0;100.0;"M3
A1, M4
A2, M4
M1, M4
M2, M4";"M3
M4, M2
M4, A2
M4, A1
M4, M1"
5;5;5;0;100.0;"M4
A1, M3
A2, M3
M1, M3
M2, M3";"M3, M2
M3, A2
M3, A1
M3, M1
M4"
5;5;5;0;100.0;"A1
A2
M1
M2
M3, M4";"A2
M3, M4
M1
A1
M2"
1;1;1;0;100.0;;
21;21;21;0;100.0;"M5
A1, A5
A4, A5
A5, M1
A5, M3
A1, A2, A6
A1, A3, A6
A1, A6, M2
A1, A6, M4
A2, A4, A6
A2, A6, M1
A2, A6, M3
A3, A4, A6
A3, A6, M1
A3, A6, M3
A4, A6, M2
A4, A6, M4
A6, M1, M2
A6, M1, M4
A6, M2, M3
A6, M3, M4";"A6, M3, M2
A6, A4, M4
A6, M3, A3
A6, M1, A2
A6, A4, M2
A6, M3, A2
A6, A4, A3
A5, M3
A6, A1, M4
A6, A1, M2
A6, A4, A2
A6, A1, A3
M5
A6, A1, A2
A5, A1
A5, A4
A6, M1, M4
A6, M1, M2
A5, M1
A6, M3, M4
A6, M1, A3"
9;9;9;0;100.0;"A5
A1, M5
A2, A6
A3, A6
A4, M5
A6, M2
A6, M4
M1, M5
M3, M5";"A5
A6, A2
M5, M3
A6, M2
M5, M1
M5, A4
M5, A1
A6, A3
A6, M4"
21;21;21;0;100.0;"A6
A2, A5
A3, A5
A5, M2
A5, M4
A1, A2, M5
A1, A3, M5
A1, M2, M5
A1, M4, M5
A2, A4, M5
A2, M1, M5
A2, M3, M5
A3, A4, M5
A3, M1, M5
A3, M3, M5
A4, M2, M5
A4, M4, M5
M1, M2, M5
M1, M4, M5
M2, M3, M5
M3, M4, M5";"M5, M2, M1
A5, A2
M5, A2, M1
A6
M5, M4, M1
M5, A3, M3
M5, M2, M3
M5, A2, M3
M5, M4, M3
M5, A3, A1
M5, A3, A4
A5, M4
A5, M2
M5, M2, A1
M5, M4, A1
M5, A2, A1
M5, M2, A4
M5, A3, M1
M5, A2, A4
A5, A3
M5, M4, A4"
45;45;45;0;100.0;"A2, M5
A3, M5
M2, M5
M4, M5
A1, A2, A5
A1, A2, A6
A1, A3, A5
A1, A3, A6
A1, A5, A6
A1, A5, M2
A1, A5, M4
A1, A6, M2
A1, A6, M4
A1, A6, M5
A2, A4, A5
A2, A4, A6
A2, A5, M1
A2, A5, M3
A2, A6, M1
A2, A6, M3
A3, A4, A5
A3, A4, A6
A3, A5, M1
A3, A5, M3
A3, A6, M1
A3, A6, M3
A4, A5, A6
A4, A5, M2
A4, A5, M4
A4, A6, M2
A4, A6, M4
A4, A6, M5
A5, A6, M1
A5, A6, M3
A5, A6, M5
A5, M1, M2
A5, M1, M4
A5, M2, M3
A5, M3, M4
A6, M1, M2
A6, M1, M4
A6, M1, M5
A6, M2, M3
A6, M3, M4
A6, M3, M5";"A6, M3, M2
A5, M3, A2
A5, A4, A3
A6, A4, M4
A6, A1, A5
A5, A1, M4
A5, A1, M2
A6, M3, A3
A6, M1, A2
A6, A4, M2
A5, A4, A2
M5, M4
M5, A6, M3
A5, A1, A3
A6, M3, A2
M5, M2
A6, A4, A3
A6, A1, M4
A6, A1, M2
M5, A3
A6, A4, A2
M5, A6, A5
A5, A1, A2
A6, A1, A3
M5, A2
A6, M1, A5
A5, M1, M4
M5, A6, A1
M5, A6, A4
A6, A1, A2
A5, M1, M2
A6, M3, A5
A5, M1, A3
A5, M3, M4
A5, M3, M2
A6, M1, M4
M5, A6, M1
A6, M1, M2
A6, A4, A5
A5, A4, M4
A5, M3, A3
A5, M1, A2
A6, M3, M4
A5, A4, M2
A6, M1, A3"
29;29;29;0;100.0;"A1, A5
A1, M5
A4, A5
A4, M5
A5, M1
A5, M3
A5, M5
M1, M5
M3, M5
A1, A2, A6
A1, A3, A6
A1, A6, M2
A1, A6, M4
A2, A4, A6
A2, A6, M1
A2, A6, M3
A2, A6, M5
A3, A4, A6
A3, A6, M1
A3, A6, M3
A3, A6, M5
A4, A6, M2
A4, A6, M4
A6, M1, M2
A6, M1, M4
A6, M2, M3
A6, M2, M5
A6, M3, M4
A6, M4, M5";"A6, M3, M2
M5, A5
A6, A4, M4
A6, M3, A3
A6, M1, A2
M5, A1
M5, A4
A6, A4, M2
A6, M3, A2
A6, A4, A3
A5, M3
A6, A1, M4
A6, A1, M2
M5, M1
A6, A4, A2
A6, A1, A3
A6, A1, A2
M5, A6, M4
A5, A1
M5, A6, M2
A5, A4
M5, M3
M5, A6, A3
A6, M1, M4
M5, A6, A2
A6, M1, M2
A5, M1
A6, M3, M4
A6, M1, A3"
25;25;25;0;100.0;"A1, A2
A1, A3
A1, M2
A1, M4
A2, A4
A2, M1
A2, M3
A3, A4
A3, M1
A3, M3
A4, M2
A4, M4
A6, M5
M1, M2
M1, M4
M2, M3
M3, M4
A1, A5, A6
A2, A5, M5
A3, A5, M5
A4, A5, A6
A5, A6, M1
A5, A6, M3
A5, M2, M5
A5, M4, M5";"M3, M4
M3, M2
A1, A6, A5
M5, A6
A4, M4
M3, A3
M1, M4
A4, M2
M1, M2
M1, A6, A5
A4, A3
M1, A3
M3, A2
A1, M4
A1, M2
M5, A3, A5
A4, A2
M1, A2
A1, A3
M5, M2, A5
A1, A2
M5, A2, A5
M3, A6, A5
M5, M4, A5
A4, A6, A5"
9;9;9;0;100.0;"A2
A3
M2
M4
A5, A6
A1, A6, M5
A4, A6, M5
A6, M1, M5
A6, M3, M5";"A6, A5
A2
A6, M5, A1
A6, M5, M1
A6, M5, A4
A3
A6, M5, M3
M4
M2"
1;1;1;0;100.0;;
49;49;49;0;100.0;"A1, A2
A1, A3
A1, M2
A1, M3
A1, M4
A1, M9
A2, A5
A2, M1
A2, M2
A2, M7
A3, A5
A3, M1
A3, M2
A3, M7
A5, M2
A5, M3
A5, M4
A5, M9
M1, M2
M1, M3
M1, M4
M1, M9
M2, M3
M2, M4
M2, M7
M2, M9
M3, M7
M4, M7
M7, M9
A1, A4, M5
A1, A6, M5
A1, M5, M6
A1, M5, M8
A4, A5, M5
A4, M1, M5
A4, M2, M5
A4, M5, M7
A5, A6, M5
A5, M5, M6
A5, M5, M8
A6, M1, M5
A6, M2, M5
A6, M5, M7
M1, M5, M6
M1, M5, M8
M2, M5, M6
M2, M5, M8
M5, M6, M7
M5, M7, M8";"M1, M5, A6
M1, M5, A4
A5, A2
A1, M9
M2, A3
M2, M1
M7, M4
M1, M4
A5, M3
M7, A3
M2, A2
M1, A3
A1, M4
M7, M5, M8
A1, M5, M6
A1, M5, M8
M7, M5, M6
A5, M5, M8
A5, M9
M7, A2
M2, M5, M6
A5, M5, M6
M1, A2
M2, M5, M8
A1, A3
M2, M3
M2, M7
M1, M5, M6
M1, M5, M8
A1, A2
A1, M5, A6
M2, M9
M1, M3
M7, M3
A5, M4
M2, A5
M7, M5, A6
M7, M5, A4
A1, M5, A4
M2, M5, A6
A5, M5, A6
M7, M9
M2, A1
A5, M5, A4
A5, A3
M1, M9
M2, M5, A4
A1, M3
M2, M4"
37;37;37;0;100.0;"M2
A1, A2
A1, A3
A1, M3
A1, M4
A1, M9
A2, A5
A2, M1
A2, M7
A3, A5
A3, M1
A3, M7
A5, M3
A5, M4
A5, M9
M1, M3
M1, M4
M1, M9
M3, M7
M4, M7
M7, M9
A1, A4, M5
A1, A6, M5
A1, M5, M6
A1, M5, M8
A4, A5, M5
A4, M1, M5
A4, M5, M7
A5, A6, M5
A5, M5, M6
A5, M5, M8
A6, M1, M5
A6, M5, M7
M1, M5, M6
M1, M5, M8
M5, M6, M7
M5, M7, M8";"M1, M5, A6
M1, M5, A4
A5, A2
A1, M9
M7, M4
M1, M4
M2
A5, M3
M7, A3
M1, A3
A1, M4
M7, M5, M8
A1, M5, M6
A1, M5, M8
M7, M5, M6
A5, M5, M8
A5, M9
M7, A2
A5, M5, M6
M1, A2
A1, A3
M1, M5, M6
M1, M5, M8
A1, A2
A1, M5, A6
M1, M3
M7, M3
A5, M4
M7, M5, A6
M7, M5, A4
A1, M5, A4
A5, M5, A6
M7, M9
A5, M5, A4
A5, A3
M1, M9
A1, M3"
165;165;165;0;100.0;"A1, A2, A4
A1, A2, A6
A1, A2, M5
A1, A2, M6
A1, A2, M8
A1, A3, A4
A1, A3, A6
A1, A3, M5
A1, A3, M6
A1, A3, M8
A1, A4, M2
A1, A4, M3
A1, A4, M4
A1, A4, M5
A1, A4, M9
A1, A6, M2
A1, A6, M3
A1, A6, M4
A1, A6, M5
A1, A6, M9
A1, M2, M5
A1, M2, M6
A1, M2, M8
A1, M3, M5
A1, M3, M6
A1, M3, M8
A1, M4, M5
A1, M4, M6
A1, M4, M8
A1, M5, M6
A1, M5, M8
A1, M5, M9
A1, M6, M9
A1, M8, M9
A2, A4, A5
A2, A4, M1
A2, A4, M2
A2, A4, M7
A2, A5, A6
A2, A5, M5
A2, A5, M6
A2, A5, M8
A2, A6, M1
A2, A6, M2
A2, A6, M7
A2, M1, M5
A2, M1, M6
A2, M1, M8
A2, M2, M5
A2, M2, M6
A2, M2, M8
A2, M5, M7
A2, M6, M7
A2, M7, M8
A3, A4, A5
A3, A4, M1
A3, A4, M2
A3, A4, M7
A3, A5, A6
A3, A5, M5
A3, A5, M6
A3, A5, M8
A3, A6, M1
A3, A6, M2
A3, A6, M7
A3, M1, M5
A3, M1, M6
A3, M1, M8
A3, M2, M5
A3, M2, M6
A3, M2, M8
A3, M5, M7
A3, M6, M7
A3, M7, M8
A4, A5, M2
A4, A5, M3
A4, A5, M4
A4, A5, M5
A4, A5, M9
A4, M1, M2
A4, M1, M3
A4, M1, M4
A4, M1, M5
A4, M1, M9
A4, M2, M3
A4, M2, M4
A4, M2, M5
A4, M2, M7
A4, M2, M9
A4, M3, M7
A4, M4, M7
A4, M5, M7
A4, M7, M9
A5, A6, M2
A5, A6, M3
A5, A6, M4
A5, A6, M5
A5, A6, M9
A5, M2, M5
A5, M2, M6
A5, M2, M8
A5, M3, M5
A5, M3, M6
A5, M3, M8
A5, M4, M5
A5, M4, M6
A5, M4, M8
A5, M5, M6
A5, M5, M8
A5, M5, M9
A5, M6, M9
A5, M8, M9
A6, M1, M2
A6, M1, M3
A6, M1, M4
A6, M1, M5
A6, M1, M9
A6, M2, M3
A6, M2, M4
A6, M2, M5
A6, M2, M7
A6, M2, M9
A6, M3, M7
A6, M4, M7
A6, M5, M7
A6, M7, M9
M1, M2, M5
M1, M2, M6
M1, M2, M8
M1, M3, M5
M1, M3, M6
M1, M3, M8
M1, M4, M5
M1, M4, M6
M1, M4, M8
M1, M5, M6
M1, M5, M8
M1, M5, M9
M1, M6, M9
M1, M8, M9
M2, M3, M5
M2, M3, M6
M2, M3, M8
M2, M4, M5
M2, M4, M6
M2, M4, M8
M2, M5, M6
M2, M5, M7
M2, M5, M8
M2, M5, M9
M2, M6, M7
M2, M6, M9
M2, M7, M8
M2, M8, M9
M3, M5, M7
M3, M6, M7
M3, M7, M8
M4, M5, M7
M4, M6, M7
M4, M7, M8
M5, M6, M7
M5, M7, M8
M5, M7, M9
M6, M7, M9
M7, M8, M9";"M2, M8, M9
M2, M6, M9
M7, M6, M9
M1, A6, M3
M2, A4, A3
M2, A6, A5
M7, A4, A2
A1, M6, M9
M1, M8, M9
M2, A4, A2
M2, M6, A1
A5, M5, A2
M2, A6, M4
A1, M5, M3
M7, M5, M3
M2, A6, M1
A5, M8, A3
M2, A6, A3
M1, A6, M4
M7, A4, M9
M2, M5, M3
M7, A6, A2
A1, M8, A3
M2, M5, M7
M2, A4, M9
A5, M8, A2
A5, M6, A2
A5, M5, M9
M1, A6, A3
A1, M8, A2
A1, A6, A2
M1, M5, M3
M7, M8, M3
A1, M5, A4
M1, M6, A3
M7, M5, M4
A5, A6, M3
A5, A4, M4
M2, M5, A4
M7, A6, M9
A1, A4, M4
M1, M6, A2
M7, M5, A3
A5, M8, M9
A5, M6, M9
M1, M5, A6
A1, M8, M9
A5, A4, A3
A1, A6, M9
M1, M5, A4
A1, A4, A3
A5, A4, A2
M7, M8, M4
A1, A4, A2
M1, A4, M4
M2, M8, A1
A5, A6, M4
M7, A4, M3
M1, M6, M9
M7, M5, M8
M1, A4, A3
A5, A6, A3
A5, M5, M3
A5, M5, M6
A1, A4, M9
M2, A6, A2
M2, M5, A5
M1, A6, A2
M2, A4, A1
A5, M5, A6
A1, M5, M4
A5, M5, A4
M2, M8, M3
M2, M8, M7
M2, M6, M3
M7, M6, M3
M2, M6, M7
M2, M5, M4
A1, M5, A3
A1, M6, M3
M1, M8, M3
M2, A6, M9
M2, M6, A5
A1, M5, A2
M2, M5, A3
M1, M5, M4
M2, M5, M1
M7, M5, A2
M1, A6, M9
M2, A6, A1
M2, M5, A2
M1, M5, A3
M2, M8, M4
M2, M6, M4
A1, M5, M8
M7, M8, A3
M2, A4, M3
M2, A4, M7
M1, M8, M4
A1, M6, M4
M2, M8, A3
M2, M8, M1
M2, M6, M1
M7, M8, A2
M2, M6, A3
A1, M5, M9
M2, M5, M8
M7, M5, M9
M1, A4, A2
A5, A4, M9
M2, M5, M9
A5, A6, A2
M1, M8, A3
M1, M5, M8
M7, A6, M3
M7, A4, M4
A5, M8, M3
A5, M6, M3
M2, A6, M3
M2, A6, M7
M2, A4, M4
M7, M8, M9
A1, M8, M3
A1, A6, M3
A5, M5, M4
M1, A4, M9
M7, A4, A3
A5, A6, M9
M2, A4, M1
A5, M5, A3
M2, M8, A5
M7, A6, M4
M1, M6, M3
A5, M8, M4
A5, M6, M4
A1, M8, M4
A1, A6, M4
M7, A6, A3
A1, M5, M6
M7, M6, M4
M7, M5, M6
A5, A4, M3
A5, M6, A3
M1, M5, A2
A5, M5, M8
A1, A4, M3
M2, M5, M6
A1, A6, A3
M7, M6, A3
M1, M6, M4
M2, M8, A2
M2, M6, A2
M1, M5, M6
M7, M6, A2
A1, M6, A3
M2, A4, A5
A1, M5, A6
M7, M5, A6
M1, A4, M3
M7, M5, A4
A1, M6, A2
M1, M8, A2
M2, M5, A6
M1, M5, M9
M2, M5, A1"
37;37;37;0;100.0;"M5
A2, A4
A2, A6
A2, M6
A2, M8
A3, A4
A3, A6
A3, M6
A3, M8
A4, M3
A4, M4
A4, M9
A6, M3
A6, M4
A6, M9
M3, M6
M3, M8
M4, M6
M4, M8
M6, M9
M8, M9
A1, A4, M2
A1, A6, M2
A1, M2, M6
A1, M2, M8
A4, A5, M2
A4, M1, M2
A4, M2, M7
A5, A6, M2
A5, M2, M6
A5, M2, M8
A6, M1, M2
A6, M2, M7
M1, M2, M6
M1, M2, M8
M2, M6, M7
M2, M7, M8";"A6, A2
M6, A3
A4, M2, A5
M8, M3
A4, M4
M8, M2, M1
M6, A2
M6, M2, M1
A4, M2, A1
M8, M9
A6, M3
A4, A3
A6, M2, M7
A6, M9
M6, M3
A4, A2
A4, M2, M1
M5
A6, M2, A5
M6, M2, M7
M6, M9
M8, M4
M8, M2, M7
A6, M2, A1
A6, M4
A4, M3
M8, A3
M6, M2, A5
M8, M2, A5
M8, A2
M6, M4
A4, M9
A4, M2, M7
A6, M2, M1
A6, A3
M6, M2, A1
M8, M2, A1"
13;13;13;0;100.0;"A2
A3
M3
M4
M9
A1, M2
A4, M5
A5, M2
A6, M5
M1, M2
M2, M7
M5, M6
M5, M8";"M5, A6
M2, M1
M5, A4
M4
A3
A2
M2, M7
M5, M8
M2, A5
M3
M5, M6
M2, A1
M9"
49;49;49;0;100.0;"A2, A4
A2, A6
A2, M5
A2, M6
A2, M8
A3, A4
A3, A6
A3, M5
A3, M6
A3, M8
A4, M3
A4, M4
A4, M5
A4, M9
A6, M3
A6, M4
A6, M5
A6, M9
M3, M5
M3, M6
M3, M8
M4, M5
M4, M6
M4, M8
M5, M6
M5, M8
M5, M9
M6, M9
M8, M9
A1, A4, M2
A1, A6, M2
A1, M2, M5
A1, M2, M6
A1, M2, M8
A4, A5, M2
A4, M1, M2
A4, M2, M7
A5, A6, M2
A5, M2, M5
A5, M2, M6
A5, M2, M8
A6, M1, M2
A6, M2, M7
M1, M2, M5
M1, M2, M6
M1, M2, M8
M2, M5, M7
M2, M6, M7
M2, M7, M8";"M5, M2, M1
A6, A2
M6, A3
M5, A6
A4, M2, A5
M8, M3
M5, A4
A4, M4
M8, M2, M1
M5, M4
M6, A2
M6, M2, M1
A4, M2, A1
M8, M9
A6, M3
A4, A3
A6, M2, M7
M5, A3
A6, M9
M5, M2, M7
M6, M3
A4, A2
A4, M2, M1
M5, A2
A6, M2, A5
M6, M2, M7
M6, M9
M8, M4
M8, M2, M7
M5, M2, A5
A6, M2, A1
A6, M4
M5, M8
A4, M3
M8, A3
M5, M3
M5, M6
M5, M2, A1
M6, M2, A5
M8, M2, A5
M8, A2
M6, M4
A4, M9
A4, M2, M7
A6, M2, M1
A6, A3
M5, M9
M6, M2, A1
M8, M2, A1"
